Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year-Month,2026-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Orders,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total quantity,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Net,255.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_name,order_id,order_date,customer_id,customer_name,customer_segment,customer_age,customer_city,customer_state,loyalty_tier,customer_lifetime_value,product_id,product_name,product_category,brand,supplier_id,quantity,unit_price,discount,discount_amount,total_price,tax_rate,tax_amount,net_sales,cost,profit,gross_margin_pct,region,store_id,store_name,store_type,inventory_status,stock_on_hand,reorder_level,sales_channel,order_status,payment_method,fulfillment_type,shipping_method,shipping_cost,delivery_days,promotion_code,campaign_name,sales_rep_id,sales_target,target_attainment_pct,returned,return_reason,returned_quantity,customer_rating,currency,order_year,order_month
ENTERPRISE SALES PERFORMANCE ANALYTICS - RETAIL,e8c1bbfb-f260-4483-b62a-caade66f330d,31-01-2026,C1860,Liam Jones,Consumer,32,Dallas,TX,Gold,19547.35,P002,Smart Gadget,Gadgets,Vertex,SUP120,1,21.76,0.1,2.18,19.58,0.085,1.66,21.24,13.06,6.52,0.333,South,S001,Downtown Flagship,Flagship,Backorder,130,41,Phone,Completed,Invoice,Store Pickup,Standard,1.97,4,NONE,Always On,REP513,14555.26,0.0015,FALSE,Not Applicable,0,5,USD,2026,1
ENTERPRISE SALES PERFORMANCE ANALYTICS - RETAIL,7ba69dfa-d977-42b8-a9fb-df3182dcc5a4,30-03-2026,C5555,Noah Davis,Small Business,75,Atlanta,GA,Bronze,10940.64,P005,Value Whatsit,Whatsits,Vertex,SUP660,1,3.63,0.15,0.54,3.09,0.07,0.22,3.31,2.58,0.51,0.165,Central,S002,Northside Market,Supermarket,Low Stock,174,81,Store,Shipped,Credit Card,Ship to Home,Free Shipping,6.99,7,LOYALTY20,Summer Sale,REP343,31658.66,0.0001,FALSE,Not Applicable,0,3,USD,2026,3
ENTERPRISE SALES PERFORMANCE ANALYTICS - RETAIL,25d064bd-0abb-41d7-b472-46a0849c4b5f,08-10-2024,C6393,Emma Wilson,Small Business,21,New York,NY,Silver,24149.39,P003,Home Doohickey,Doohickeys,Northstar,SUP341,1,7.3,0,0,7.3,0.085,0.62,7.92,5.14,2.16,0.2959,North,S001,Downtown Flagship,Flagship,Low Stock,454,63,Store,Shipped,Invoice,Store Pickup,Standard,17.33,7,LOYALTY20,Always On,REP134,45919.42,0.0002,FALSE,Not Applicable,0,4,USD,2024,10
ENTERPRISE SALES PERFORMANCE ANALYTICS - RETAIL,6a66b6db-0271-4e32-ab99-cd91d33549a6,22-10-2025,C2021,Sophia Clark,Consumer,23,Chicago,IL,Gold,14300.58,P005,Value Whatsit,Whatsits,Horizon,SUP576,5,4.33,0,0,21.65,0,0,21.65,19.19,2.46,0.1136,Central,S001,Downtown Flagship,Flagship,In Stock,212,99,Online,Processing,PayPal,Ship to Home,Standard,26.16,7,NONE,Member Rewards,REP152,31403.8,0.0007,FALSE,Not Applicable,0,4,USD,2025,10
ENTERPRISE SALES PERFORMANCE ANALYTICS - RETAIL,c223a305-dd16-44df-941c-a4e1e87e831c,15-01-2024,C9684,Emma Wilson,VIP,58,Atlanta,GA,Gold,20104.38,P002,Smart Gadget,Gadgets,Horizon,SUP164,2,20.18,0,0,40.36,0.07,2.83,43.19,32.18,8.18,0.2027,East,S003,West End Outlet,Outlet,Backorder,162,54,Online,Completed,Invoice,Same Day Delivery,Standard,26.99,5,WELCOME10,Holiday Push,REP589,21130.96,0.002,FALSE,Not Applicable,0,1,USD,2024,1
ENTERPRISE SALES PERFORMANCE ANALYTICS - RETAIL,3d5456d0-c9bc-49bd-b4d8-52cafe1b142c,18-02-2025,C4104,James Lewis,VIP,65,Atlanta,GA,Gold,18307.75,P005,Value Whatsit,Whatsits,Vertex,SUP971,4,3.23,0,0,12.92,0.05,0.65,13.57,9.34,3.58,0.2771,East,S002,Northside Market,Supermarket,In Stock,392,98,Online,Shipped,Gift Card,Store Pickup,Standard,14.96,2,WELCOME10,Summer Sale,REP991,9855.11,0.0014,FALSE,Not Applicable,0,1,USD,2025,2
ENTERPRISE SALES PERFORMANCE ANALYTICS - RETAIL,75b75f9b-3b61-4099-9528-bb95d55836ad,17-07-2024,C6116,Noah Davis,VIP,49,Seattle,WA,Platinum,22712.27,P004,Premium Thingamajig,Thingamajigs,Vertex,SUP506,1,58.96,0.15,8.84,50.12,0.07,3.51,53.63,38.41,11.71,0.2336,East,S002,Northside Market,Supermarket,Backorder,85,47,Online,Shipped,Invoice,Store Pickup,Free Shipping,32.54,5,LOYALTY20,Summer Sale,REP673,33503.17,0.0016,FALSE,Not Applicable,0,4,USD,2024,7
ENTERPRISE SALES PERFORMANCE ANALYTICS - RETAIL,ba405b57-b779-4684-b8b1-c83fc93701a9,08-06-2026,C8392,Noah Davis,Small Business,18,New York,NY,Platinum,16280.33,P001,Everyday Widget,Widgets,Northstar,SUP732,1,14.02,0,0,14.02,0,0,14.02,10.09,3.93,0.2803,North,S002,Northside Market,Supermarket,Backorder,224,70,Online,Cancelled,Invoice,Ship to Home,Express,9.43,7,LOYALTY20,Member Rewards,REP926,19544.13,0.0007,FALSE,Not Applicable,0,1,USD,2026,6
ENTERPRISE SALES PERFORMANCE ANALYTICS - RETAIL,1ab0d2b0-0130-42b7-a232-1bc15e7f9f20,10-02-2026,C2853,Emma Wilson,Consumer,66,Chicago,IL,Bronze,24070.57,P005,Value Whatsit,Whatsits,Horizon,SUP609,1,3.9,0.2,0.78,3.12,0.07,0.22,3.34,2.98,0.14,0.0449,East,S003,West End Outlet,Outlet,Low Stock,129,73,Online,Processing,Gift Card,Ship to Home,Free Shipping,1.16,1,SEASONAL15,Holiday Push,REP484,15780.29,0.0002,FALSE,Not Applicable,0,4,USD,2026,2
ENTERPRISE SALES PERFORMANCE ANALYTICS - RETAIL,61542fb3-b48b-46be-8221-618d5bbcb33b,30-12-2024,C6791,Liam Jones,Enterprise,23,Seattle,WA,Silver,2251.12,P002,Smart Gadget,Gadgets,Horizon,SUP283,3,22.67,0,0,68.01,0.085,5.78,73.79,56.41,11.6,0.1706,South,S001,Downtown Flagship,Flagship,Backorder,200,78,Phone,Shipped,Gift Card,Ship to Home,Standard,6.53,5,SEASONAL15,Summer Sale,REP870,31590.18,0.0023,FALSE,Not Applicable,0,3,USD,2024,12
